Orthogroup	Acidithiobacillus ferrooxidans YNTRS-40	Desulfocapsa sulfexigens DSM 10523	Desulfocapsa_06_corrosive	Desulfocapsa_13_biocide	Desulforhopalus vacuolatus DSM 9700	Desulfosediminicola flagellatus IMCC35005	Desulfosediminicola ganghwensis IMCC35004	Desulfotalea psychrophila LSv54	Desulfovibrio ferrophilus IS5	Desulfovibrio vulgaris DP4	Geobacter sulfurreducens PCA	Shewanella oneidensis MR-1	Total
OG0000257	1	2	2	1	1	2	2	1	1	1	2	1	17
OG0000258	1	2	5	3	2	1	1	0	0	1	1	0	17
OG0000259	4	1	1	1	1	2	1	1	1	1	2	1	17
OG0000260	3	2	2	2	0	1	1	1	2	1	1	1	17
OG0000261	2	2	2	2	1	1	1	2	1	1	0	2	17
OG0000262	1	1	2	1	1	1	1	2	0	0	4	3	17
OG0000263	2	1	1	2	1	0	0	1	1	2	2	4	17
OG0000264	1	2	2	1	2	2	2	1	1	1	1	1	17
OG0000265	1	2	2	1	2	2	2	1	1	1	1	1	17
OG0000266	1	2	2	1	2	2	2	1	1	1	1	1	17
OG0000267	3	0	1	2	0	1	1	1	1	0	4	3	17
OG0000268	1	2	2	2	2	2	2	1	0	1	0	2	17
OG0000269	1	2	2	2	5	2	2	0	0	0	0	1	17
OG0000270	1	1	2	2	1	2	1	1	1	2	2	1	17
OG0000271	0	1	2	2	2	2	2	2	1	1	1	1	17
OG0000272	0	4	2	2	2	3	0	0	1	1	1	1	17
OG0000273	0	2	2	3	1	2	1	2	2	1	1	0	17
OG0000274	0	1	1	0	3	3	2	2	2	2	1	0	17
OG0000275	0	3	1	4	1	3	1	0	2	2	0	0	17
OG0000276	0	1	4	3	3	2	3	1	0	0	0	0	17
OG0000277	0	2	2	2	1	1	2	1	1	1	2	2	17
OG0000278	0	2	2	2	1	1	1	1	4	2	1	0	17
OG0000279	0	3	3	3	1	4	3	0	0	0	0	0	17
OG0000280	0	2	2	3	0	2	0	1	3	1	2	1	17
OG0000281	0	1	1	1	0	7	6	0	0	0	1	0	17
OG0000282	0	0	1	1	1	2	4	0	2	4	1	1	17
OG0000283	1	1	1	1	1	1	3	1	1	2	2	1	16
OG0000284	1	1	1	1	0	1	3	1	1	1	3	2	16
OG0000285	5	1	1	1	1	1	1	1	1	1	1	1	16
OG0000286	1	1	2	1	2	1	1	2	1	2	0	2	16
OG0000287	2	1	0	0	0	4	4	0	1	3	1	0	16
OG0000288	1	1	2	1	1	2	2	0	1	1	2	2	16
OG0000289	1	0	1	2	0	2	2	2	2	3	1	0	16
OG0000290	4	1	1	1	1	1	1	1	1	1	1	2	16
OG0000291	2	1	1	0	1	1	1	1	2	2	2	2	16
OG0000292	1	1	1	1	2	2	2	1	2	2	1	0	16
OG0000293	1	1	1	2	2	2	2	1	1	0	2	1	16
OG0000294	7	1	1	2	1	0	0	1	0	1	0	2	16
OG0000295	1	1	2	2	1	1	2	2	1	1	1	1	16
OG0000296	1	1	3	1	1	1	1	1	1	2	2	1	16
OG0000297	2	1	2	1	2	1	1	1	2	1	1	1	16
OG0000298	3	2	1	0	2	1	2	1	2	1	0	1	16
OG0000299	1	2	2	1	2	1	2	1	1	1	1	1	16
OG0000300	2	1	2	1	1	1	1	2	1	2	1	1	16
OG0000301	1	2	1	1	1	2	1	2	2	1	1	1	16
OG0000302	1	2	3	3	1	1	1	0	2	1	1	0	16
OG0000303	1	0	2	2	1	5	2	1	0	0	1	1	16
OG0000304	1	0	0	2	0	3	2	2	0	0	3	3	16
OG0000305	2	1	1	0	0	7	2	0	0	0	2	1	16
OG0000306	2	1	1	1	0	4	5	0	0	0	0	2	16
OG0000307	1	1	1	2	2	2	2	1	1	0	2	1	16
OG0000308	1	1	1	2	2	2	2	1	1	0	2	1	16
OG0000309	1	1	1	1	1	2	2	2	1	1	1	2	16
OG0000310	1	3	2	2	1	3	1	0	0	2	1	0	16
OG0000311	1	3	3	0	1	1	1	1	2	1	1	1	16
OG0000312	2	1	2	1	1	1	1	1	1	1	2	2	16
OG0000313	1	1	1	1	1	2	2	3	1	2	0	1	16
OG0000314	1	1	1	2	2	2	2	1	1	0	2	1	16
OG0000315	1	0	8	0	1	2	0	0	0	0	1	3	16
OG0000316	0	1	1	1	2	2	2	1	2	2	2	0	16
OG0000317	0	4	3	3	1	2	2	1	0	0	0	0	16
OG0000318	0	1	2	2	0	1	1	0	1	0	4	4	16
OG0000319	0	2	2	1	1	3	2	1	0	0	2	2	16
OG0000320	0	1	1	2	1	3	2	2	1	1	1	1	16
OG0000321	0	1	1	1	3	3	2	1	1	1	2	0	16
OG0000322	0	1	3	2	2	1	1	1	2	0	1	2	16
OG0000323	0	1	2	2	0	2	2	2	2	2	0	1	16
OG0000324	0	1	1	1	0	2	2	3	2	1	0	3	16
OG0000325	0	2	3	3	1	3	0	0	2	0	1	1	16
OG0000326	0	1	1	2	2	2	2	2	1	1	1	1	16
OG0000327	0	1	1	2	1	3	1	1	2	2	2	0	16
OG0000328	0	0	1	0	8	2	1	3	0	0	1	0	16
OG0000329	0	0	1	0	1	3	4	0	0	0	0	7	16
OG0000330	0	0	0	0	16	0	0	0	0	0	0	0	16
OG0000331	3	1	1	1	1	1	1	2	0	1	1	2	15
OG0000332	1	1	2	2	1	1	1	2	1	1	1	1	15
OG0000333	1	2	1	1	1	2	2	1	1	1	1	1	15
OG0000334	2	1	2	3	0	1	1	0	1	0	1	3	15
OG0000335	1	1	3	2	1	1	1	0	2	1	1	1	15
OG0000336	2	1	1	2	1	1	1	1	1	1	2	1	15
OG0000337	1	1	1	1	1	1	1	1	1	1	2	3	15
OG0000338	1	1	1	1	1	1	2	1	1	2	1	2	15
OG0000339	2	2	1	1	1	2	1	1	1	1	1	1	15
OG0000340	1	1	2	1	1	2	1	1	1	1	1	2	15
OG0000341	2	1	1	0	0	2	1	2	0	1	1	4	15
OG0000342	4	0	1	2	0	1	6	1	0	0	0	0	15
OG0000343	3	1	1	1	1	1	1	2	1	1	1	1	15
OG0000344	1	2	1	1	1	2	2	1	2	1	1	0	15
OG0000345	3	1	1	0	1	1	1	1	1	1	2	2	15
OG0000346	1	2	3	3	0	1	1	0	2	1	1	0	15
OG0000347	1	2	1	0	3	1	1	0	1	1	2	2	15
OG0000348	2	2	1	1	1	2	2	1	1	1	1	0	15
OG0000349	2	1	2	1	1	1	1	2	1	1	0	2	15
OG0000350	2	0	3	1	0	2	2	1	1	1	1	1	15
OG0000351	2	0	1	1	0	1	1	1	1	0	5	2	15
OG0000352	1	2	1	1	1	1	2	1	1	1	2	1	15
OG0000353	1	1	1	1	2	1	1	2	2	1	1	1	15
OG0000354	1	3	1	0	1	2	0	2	1	1	1	2	15
OG0000355	1	1	1	2	1	1	1	1	1	1	2	2	15
OG0000356	2	1	2	1	1	1	1	1	1	1	2	1	15
OG0000357	1	2	1	1	2	1	1	1	1	1	1	2	15
OG0000358	1	2	2	2	1	1	1	1	1	1	1	1	15
OG0000359	1	1	2	2	1	1	1	1	1	1	2	1	15
OG0000360	1	1	1	1	1	1	1	1	2	2	2	1	15
OG0000361	1	1	1	1	1	2	1	1	1	1	2	2	15
OG0000362	0	1	3	2	2	1	3	1	0	0	0	2	15
OG0000363	0	2	2	1	1	2	2	1	2	1	1	0	15
OG0000364	0	3	3	3	1	1	1	0	1	1	1	0	15
OG0000365	0	2	2	2	1	3	1	0	1	2	1	0	15
OG0000366	0	1	1	1	1	1	3	1	2	2	1	1	15
OG0000367	0	1	1	2	1	2	3	1	2	2	0	0	15
OG0000368	0	8	3	3	0	1	0	0	0	0	0	0	15
OG0000369	0	1	0	0	4	4	4	0	1	1	0	0	15
OG0000370	0	1	1	1	2	1	1	0	1	0	1	6	15
OG0000371	0	2	2	4	1	0	0	1	0	0	2	3	15
OG0000372	0	3	1	1	2	2	1	1	3	0	0	1	15
OG0000373	0	3	1	1	2	2	1	1	2	0	0	2	15
OG0000374	0	2	1	2	1	4	3	1	0	0	0	1	15
OG0000375	0	2	1	1	0	3	2	0	3	1	1	1	15
OG0000376	0	2	0	0	1	4	3	1	3	1	0	0	15
OG0000377	0	1	0	8	0	2	2	0	0	0	2	0	15
OG0000378	0	1	2	0	2	4	4	0	0	0	1	1	15
OG0000379	0	1	1	1	0	2	3	0	3	2	2	0	15
OG0000380	0	2	1	1	1	2	2	1	1	1	0	3	15
OG0000381	0	2	2	1	1	3	1	1	1	1	1	1	15
OG0000382	0	1	1	1	0	1	0	1	4	3	1	2	15
OG0000383	0	1	1	1	3	2	2	1	3	0	0	1	15
OG0000384	0	1	2	2	1	2	2	1	1	1	2	0	15
OG0000385	0	0	2	2	1	5	2	1	0	0	1	1	15
OG0000386	0	0	0	1	2	6	4	0	1	0	0	1	15
OG0000387	2	0	0	1	1	2	3	1	2	1	1	0	14
OG0000388	3	1	1	1	1	1	1	1	1	1	1	1	14
OG0000389	2	1	1	0	1	1	1	1	1	1	2	2	14
OG0000390	2	1	1	1	1	1	1	1	1	2	1	1	14
OG0000391	2	1	1	1	1	1	1	2	1	1	1	1	14
OG0000392	1	2	1	1	2	1	1	1	1	1	1	1	14
OG0000393	2	1	1	1	1	1	2	1	1	1	1	1	14
OG0000394	1	1	1	1	1	2	1	1	1	1	1	2	14
OG0000395	1	2	1	1	2	2	1	0	1	1	1	1	14
OG0000396	1	1	1	1	1	2	1	2	1	1	1	1	14
